,loss_value,acc,auc_validation,auc_test
0,0.6931,0.5016,0.5257,
1,0.6901,0.647,,
2,0.677,0.7043,,
3,0.6355,0.6794,0.5893,
4,0.5974,0.7009,0.6007,
5,0.5579,0.7357,,
6,0.523,0.7621,,
7,0.4877,0.7803,,
8,0.4589,0.806,,
9,0.4284,0.8217,,
10,0.4067,0.836,,
11,0.3808,0.8514,,
12,0.3509,0.8651,,
13,0.3392,0.8747,,
14,0.3148,0.8902,,
15,0.3035,0.8934,0.6699,
16,0.2776,0.9032,,
17,0.2621,0.9119,0.6748,
18,0.2532,0.9176,0.6764,
19,0.2392,0.9218,0.6763,
20,0.2283,0.9285,0.6781,
21,0.2179,0.9325,0.6807,
22,0.2079,0.9371,0.6821,
23,0.2007,0.9379,0.6832,
24,0.1887,0.9447,0.6827,
25,0.1831,0.9488,0.6846,
26,0.1718,0.9512,0.6858,
27,0.1652,0.9539,0.6865,
28,0.1605,0.9559,0.6884,
29,0.1552,0.9578,0.6868,
30,0.1478,0.9582,0.688,
31,0.1399,0.9641,0.6897,
32,0.1411,0.9625,0.6881,
33,0.1308,0.9647,0.689,
34,0.1307,0.9666,0.6906,
35,0.1252,0.966,0.6907,
36,0.1187,0.9722,0.6909,
37,0.1239,0.9715,0.6895,
38,0.115,0.972,0.6916,
39,0.1148,0.9737,0.6914,
40,0.1072,0.9752,0.6923,
41,0.1056,0.9751,0.6924,
42,0.1013,0.9766,0.6923,
43,0.1036,0.9754,0.6921,
44,0.0968,0.9776,0.6936,
45,0.0969,0.9772,0.6923,
46,0.0905,0.9817,0.6944,
47,0.0922,0.9805,0.694,
48,0.0896,0.9818,0.6947,
49,0.086,0.9828,0.6942,
50,0.0845,0.9828,0.6926,
51,0.0816,0.9843,0.6955,
52,0.0805,0.9845,0.6936,
53,0.0784,0.9836,0.6948,
54,0.0774,0.9852,0.694,0.6908
