,loss_value,acc,auc_validation,auc_test
0,0.6931,0.5004,0.5311,
1,0.6909,0.6441,,
2,0.6858,0.726,,
3,0.669,0.7287,0.5876,
4,0.6301,0.6934,0.5966,
5,0.5962,0.7008,0.6052,
6,0.5752,0.7212,0.6131,
7,0.5396,0.7465,,
8,0.5244,0.7575,,
9,0.4987,0.7864,,
10,0.4708,0.798,,
11,0.4406,0.8121,,
12,0.4344,0.824,,
13,0.4049,0.8331,,
14,0.3941,0.8473,,
15,0.3706,0.8584,,
16,0.3491,0.87,,
17,0.3416,0.8737,0.6667,
18,0.3243,0.8868,,
19,0.3041,0.8925,0.6701,
20,0.2907,0.9012,0.6733,
21,0.2797,0.9032,0.6751,
22,0.2644,0.9124,,
23,0.2601,0.9152,0.6782,
24,0.245,0.9209,0.6803,
25,0.2439,0.9234,0.6816,
26,0.2379,0.9286,0.6825,
27,0.2181,0.9338,0.6833,
28,0.2141,0.9368,0.6866,
29,0.2113,0.9403,0.685,
30,0.2011,0.9436,0.6874,
31,0.1953,0.945,0.6861,
32,0.1778,0.9487,0.6878,
33,0.1773,0.9525,0.6882,
34,0.1748,0.9559,0.6887,
35,0.1749,0.9524,0.6889,
36,0.1643,0.9572,0.6903,
37,0.1605,0.9571,0.6912,
38,0.1532,0.9615,0.6906,
39,0.1511,0.9632,0.6928,
40,0.1413,0.9642,0.6907,
41,0.1433,0.9632,0.6926,
42,0.1397,0.9664,0.6924,0.6881
