,loss_value
532,179.7
533,181.14
534,181.53
535,179.96
536,180.58
537,182.33
538,181.89
539,180.94
540,179.99
541,179.25
542,177.6
543,180.96
544,180.11
545,180.98
546,179.81
547,178.97
548,179.84
549,179.18
550,178.61
551,178.86
552,178.54
553,178.11
554,178.66
555,179.0
556,179.03
557,180.06
558,178.63
559,178.65
560,178.14
561,178.99
562,178.6
563,177.64
564,178.51
565,178.05
566,177.9
567,177.56
568,177.66
569,177.9
570,177.57
571,177.0
572,177.57
573,178.25
574,177.33
575,177.93
576,176.88
577,176.9
578,176.68
579,177.74
580,176.88
581,176.38
582,177.35
583,177.41
584,175.98
585,175.74
586,176.6
587,177.0
588,176.3
589,174.52
590,175.42
591,176.08
592,175.15
593,175.78
594,175.34
595,175.73
596,175.53
597,176.73
598,176.64
599,176.01
600,176.54
601,174.44
602,176.05
603,175.31
604,175.05
605,175.62
606,174.47
607,174.53
608,174.42
609,174.98
610,175.25
611,174.05
612,174.28
613,173.35
614,174.53
615,173.72
616,172.9
617,174.04
618,174.06
619,173.25
620,174.59
621,173.19
622,174.28
623,173.97
624,172.32
625,173.02
626,174.0
627,172.86
628,172.53
629,173.42
630,172.49
631,172.22
632,171.77
633,171.31
634,173.09
635,173.18
636,172.75
637,172.87
638,172.88
639,172.59
640,172.11
641,172.19
642,171.22
643,171.72
644,172.73
645,172.77
646,171.32
647,171.82
648,171.48
649,172.15
650,171.41
651,170.93
652,171.76
653,172.33
654,170.79
655,170.41
656,170.59
657,171.43
658,170.72
659,171.23
660,170.86
661,170.99
662,170.19
663,171.45
664,170.79
665,170.36
666,170.45
667,171.42
668,169.02
669,169.26
670,170.92
671,169.64
672,170.27
673,170.14
674,170.01
675,168.96
676,170.32
677,169.35
678,168.03
679,169.4
680,168.8
681,167.83
682,169.18
683,169.09
684,168.63
685,168.59
686,167.89
687,168.14
688,168.44
689,168.86
690,168.85
691,167.9
692,169.4
693,167.16
694,168.13
695,167.55
696,167.58
697,168.06
698,166.97
699,168.67
700,167.52
701,166.64
702,168.12
703,167.63
704,167.37
705,168.15
706,168.56
707,167.75
708,166.58
709,167.03
710,166.57
711,168.02
712,167.38
713,166.87
714,167.16
715,166.66
716,165.86
717,166.5
718,167.9
719,167.12
720,166.49
721,166.18
722,167.08
723,167.39
724,165.27
725,166.23
726,166.82
727,167.39
728,166.24
729,166.09
