,loss_value,acc,auc_validation,auc_test
785,0.4958,0.7857,0.6623,
786,0.4869,0.7858,0.6623,
787,0.5008,0.7812,0.6624,
788,0.4913,0.7844,0.6625,
789,0.4906,0.7867,0.6625,
790,0.4962,0.7837,0.6625,
791,0.4863,0.7882,0.6625,
792,0.4965,0.784,0.6625,
793,0.4954,0.7853,0.6625,
794,0.4887,0.7845,0.6625,
795,0.5015,0.7821,0.6626,
796,0.4942,0.784,0.6627,
797,0.4906,0.7866,0.6627,
798,0.4937,0.7868,0.6627,
799,0.5038,0.7809,0.6627,
800,0.4896,0.7846,0.6628,
801,0.4885,0.7893,0.6629,
802,0.4888,0.7846,0.6629,
803,0.4854,0.7818,0.6629,
804,0.491,0.7868,0.6629,
805,0.4912,0.7831,0.663,
806,0.4892,0.7824,0.663,
807,0.4877,0.7836,0.6631,
808,0.4938,0.7859,0.6632,
809,0.4758,0.7855,0.6632,
810,0.4979,0.786,0.6633,
811,0.4888,0.7851,0.6634,
812,0.4994,0.7828,0.6635,
813,0.491,0.7823,0.6635,
814,0.4904,0.7872,0.6636,
815,0.4923,0.7826,0.6636,
816,0.4888,0.7843,0.6636,
817,0.4879,0.7909,0.6637,
818,0.4908,0.7861,0.6637,
819,0.4931,0.7852,0.6638,
820,0.5008,0.7802,0.6638,
821,0.4758,0.7857,0.6638,
822,0.49,0.7878,0.6638,
823,0.4921,0.7872,0.6638,
824,0.4865,0.7851,0.6639,
825,0.4827,0.7858,0.664,
826,0.5006,0.7876,0.664,
827,0.4894,0.7895,0.6641,
828,0.5052,0.7843,0.6642,
829,0.4954,0.7858,0.6642,
830,0.4873,0.7876,0.6642,
831,0.4942,0.7847,0.6643,
832,0.4885,0.7865,0.6643,
833,0.4833,0.7836,0.6644,
834,0.4904,0.7887,0.6645,
835,0.4956,0.7847,0.6645,
836,0.4842,0.7883,0.6645,
837,0.476,0.7898,0.6645,
838,0.4887,0.7873,0.6645,
839,0.4862,0.7869,0.6645,
840,0.4933,0.787,0.6645,
841,0.494,0.7838,0.6645,
842,0.4929,0.7869,0.6645,
843,0.4865,0.7924,0.6646,
844,0.4877,0.788,0.6646,
845,0.4927,0.7877,0.6646,
846,0.4825,0.7905,0.6647,
847,0.4756,0.7951,0.6647,
848,0.4933,0.7894,0.6648,
849,0.4767,0.7912,0.6648,
850,0.4885,0.7909,0.6648,
851,0.4829,0.7921,0.6648,
852,0.4852,0.7896,0.6649,
853,0.4804,0.7917,0.665,
854,0.4763,0.7912,0.665,
855,0.4887,0.7896,0.665,
856,0.4927,0.7878,0.665,
857,0.4877,0.7874,0.665,
858,0.49,0.7907,0.6651,
859,0.4787,0.7927,0.6652,
860,0.4817,0.7914,0.6652,
861,0.48,0.7906,0.6652,
862,0.4756,0.7894,0.6652,
863,0.4912,0.7873,0.6652,
864,0.4794,0.7907,0.6652,
865,0.4844,0.7942,0.6652,
866,0.4802,0.7919,0.6652,
867,0.4904,0.7887,0.6652,
868,0.4912,0.7894,0.6652,
869,0.4756,0.7925,0.6653,
870,0.485,0.7924,0.6654,
871,0.4681,0.796,0.6654,
872,0.4863,0.7921,0.6655,
873,0.48,0.7911,0.6655,
874,0.481,0.7921,0.6656,
875,0.4785,0.7909,0.6657,
876,0.4712,0.7948,0.6656,
877,0.4808,0.7924,0.6657,
878,0.4669,0.7961,0.6657,
879,0.4867,0.7877,0.6657,
880,0.489,0.7895,0.6657,
881,0.4687,0.7886,0.6658,
882,0.4815,0.7881,0.6658,
883,0.4833,0.7925,0.6659,
884,0.4758,0.7895,0.6659,
885,0.4871,0.793,0.6659,
886,0.485,0.7932,0.666,
887,0.4648,0.7959,0.6659,
888,0.476,0.7925,0.666,
889,0.4802,0.7932,0.666,
890,0.4898,0.795,0.666,
891,0.4729,0.7961,0.666,
892,0.4815,0.7934,0.666,
893,0.4742,0.7925,0.666,
894,0.4767,0.7925,0.6661,
895,0.4763,0.7892,0.6662,
896,0.4763,0.7882,0.6662,
897,0.4763,0.7931,0.6661,
898,0.4804,0.7882,0.6662,
899,0.4715,0.7937,0.6662,
900,0.4796,0.7939,0.6662,
901,0.481,0.7923,0.6662,
902,0.4738,0.7924,0.6663,
903,0.4758,0.7879,0.6663,
904,0.4767,0.7912,0.6663,
905,0.4888,0.7872,0.6663,
906,0.4902,0.7904,0.6664,
907,0.4744,0.7938,0.6664,
908,0.4731,0.7954,0.6665,
909,0.4813,0.7885,0.6665,
910,0.4837,0.7875,0.6665,
911,0.4892,0.7934,0.6666,
912,0.4679,0.7937,0.6665,
913,0.4717,0.7953,0.6665,
914,0.4767,0.7944,0.6665,
915,0.4946,0.7916,0.6665,
916,0.4723,0.7948,0.6666,
917,0.4658,0.7968,0.6666,
918,0.4677,0.7969,0.6666,
919,0.4781,0.7941,0.6667,
920,0.479,0.7955,0.6667,
921,0.4706,0.7953,0.6667,
922,0.4692,0.7925,0.6668,
923,0.4896,0.7945,0.6668,
924,0.4654,0.7966,0.6669,
925,0.4688,0.796,0.6668,
926,0.4777,0.7912,0.6669,
927,0.4773,0.7948,0.6669,
928,0.4777,0.7959,0.667,
929,0.4767,0.794,0.667,
930,0.4694,0.7955,0.6671,
931,0.4694,0.7949,0.6672,
932,0.4748,0.7976,0.6672,
933,0.4785,0.7985,0.6672,
934,0.4721,0.7966,0.6673,
935,0.4692,0.795,0.6673,
936,0.4694,0.7951,0.6673,
937,0.471,0.7958,0.6674,
938,0.4783,0.7971,0.6674,
939,0.4846,0.7916,0.6676,
940,0.4783,0.7933,0.6676,
941,0.4737,0.7939,0.6676,
942,0.469,0.7983,0.6676,
943,0.4738,0.7947,0.6677,
944,0.4763,0.794,0.6677,
945,0.4765,0.7923,0.6678,
946,0.4681,0.7995,0.6678,
947,0.4696,0.7947,0.6678,
948,0.4633,0.7958,0.6678,
949,0.4752,0.793,0.6678,
950,0.4621,0.7998,0.6679,
951,0.4813,0.7958,0.6679,
952,0.4781,0.7938,0.6679,
953,0.4729,0.7973,0.668,
954,0.4848,0.7943,0.668,
955,0.475,0.7954,0.6681,
956,0.4596,0.8029,0.6681,
957,0.4775,0.7955,0.6682,
958,0.4604,0.7981,0.6682,
959,0.4644,0.7971,0.6682,
960,0.4671,0.7954,0.6683,
961,0.4769,0.7973,0.6683,
962,0.4621,0.7969,0.6683,
963,0.4821,0.7916,0.6684,
964,0.4644,0.7995,0.6684,
965,0.4565,0.8015,0.6684,
966,0.4738,0.7955,0.6685,
967,0.4713,0.7982,0.6685,
968,0.464,0.8004,0.6685,
969,0.4654,0.7965,0.6685,
970,0.4579,0.8047,0.6686,
971,0.4673,0.8018,0.6687,
972,0.4638,0.7991,0.6687,
973,0.4571,0.7979,0.6688,
974,0.4635,0.7945,0.6688,
975,0.4746,0.7969,0.6689,
976,0.4752,0.8036,0.6689,
977,0.4619,0.7962,0.669,
978,0.4567,0.8032,0.669,
979,0.4596,0.8041,0.669,
980,0.4646,0.7992,0.6691,
981,0.459,0.797,0.6691,
982,0.4685,0.7958,0.6691,
983,0.4656,0.7977,0.6691,
984,0.4717,0.7982,0.6691,
985,0.4654,0.8003,0.6691,
986,0.4863,0.7971,0.6692,
987,0.4573,0.7989,0.6692,
988,0.4506,0.8028,0.6693,
989,0.4613,0.8014,0.6693,
990,0.464,0.7973,0.6694,
991,0.4565,0.8032,0.6694,
992,0.4623,0.7979,0.6694,
993,0.4637,0.7985,0.6695,
994,0.4585,0.8002,0.6695,
995,0.4465,0.8034,0.6695,
996,0.4596,0.8014,0.6695,
997,0.469,0.7967,0.6695,
998,0.4652,0.7981,0.6696,
999,0.4565,0.8034,0.6696,
1000,0.4581,0.8049,0.6696,
1001,0.4646,0.7992,0.6696,
1002,0.4638,0.8006,0.6697,
1003,0.4685,0.7993,0.6698,
1004,0.4646,0.8028,0.6698,
1005,0.4617,0.8029,0.6698,
1006,0.4744,0.7972,0.6699,
1007,0.4565,0.8036,0.6698,
1008,0.4573,0.8024,0.6699,
1009,0.455,0.8024,0.6699,
1010,0.469,0.7987,0.6699,
1011,0.4552,0.7999,0.67,
1012,0.4692,0.7987,0.67,
1013,0.4675,0.8003,0.6699,
1014,0.4612,0.8031,0.67,
1015,0.4615,0.7985,0.67,
1016,0.4633,0.8,0.67,
1017,0.4588,0.7998,0.6701,
1018,0.4677,0.7992,0.6701,
1019,0.465,0.7992,0.6701,
1020,0.4654,0.8012,0.6702,
1021,0.4587,0.8054,0.6702,
1022,0.4735,0.7968,0.6703,
1023,0.4615,0.7989,0.6703,
1024,0.4567,0.8014,0.6704,
1025,0.4758,0.8024,0.6704,
1026,0.4729,0.7995,0.6704,
1027,0.4613,0.8018,0.6704,
1028,0.4431,0.804,0.6704,
1029,0.4625,0.8002,0.6704,
1030,0.4637,0.8,0.6705,
1031,0.4646,0.8008,0.6705,
1032,0.4606,0.8012,0.6706,
1033,0.4604,0.8057,0.6706,
1034,0.4527,0.8037,0.6706,
1035,0.4604,0.8006,0.6706,
1036,0.4585,0.803,0.6706,
1037,0.4567,0.8015,0.6706,
1038,0.4617,0.805,0.6706,
1039,0.4588,0.7995,0.6706,
1040,0.4685,0.7989,0.6707,
1041,0.4577,0.806,0.6707,
1042,0.456,0.8051,0.6708,
1043,0.4588,0.8002,0.6708,
1044,0.466,0.801,0.6708,
1045,0.4479,0.8051,0.6708,
1046,0.4608,0.8024,0.6708,
1047,0.4587,0.806,0.6708,
1048,0.4598,0.8018,0.6708,
1049,0.4617,0.8017,0.6708,
1050,0.4673,0.8011,0.6709,
1051,0.4633,0.8028,0.6709,
1052,0.46,0.805,0.6709,
1053,0.4596,0.8035,0.6709,
1054,0.4554,0.8031,0.671,
1055,0.4575,0.8023,0.671,
1056,0.4548,0.8059,0.671,
1057,0.4623,0.8029,0.671,
1058,0.4544,0.8042,0.671,
1059,0.4712,0.8004,0.671,
1060,0.4615,0.8016,0.6711,
1061,0.4538,0.8073,0.6711,
1062,0.4594,0.8032,0.6712,
1063,0.4606,0.8045,0.6713,
1064,0.4633,0.8018,0.6713,
1065,0.4558,0.8044,0.6714,
1066,0.465,0.8044,0.6714,
1067,0.4563,0.8055,0.6714,
1068,0.4692,0.8044,0.6714,
1069,0.4467,0.8063,0.6714,
1070,0.4652,0.8047,0.6715,
1071,0.4565,0.8076,0.6715,
1072,0.4425,0.8052,0.6715,
1073,0.4648,0.802,0.6715,
1074,0.4569,0.8042,0.6715,
1075,0.4617,0.8064,0.6715,
1076,0.4481,0.8075,0.6715,
1077,0.4535,0.8051,0.6715,
1078,0.4588,0.8008,0.6716,
1079,0.4481,0.8068,0.6716,
1080,0.4525,0.8055,0.6717,
1081,0.4471,0.8064,0.6717,
1082,0.4658,0.8016,0.6717,
1083,0.4633,0.8032,0.6716,
1084,0.4558,0.8047,0.6717,
1085,0.4529,0.8066,0.6717,
1086,0.4488,0.8047,0.6717,
1087,0.4556,0.8046,0.6718,
1088,0.4596,0.806,0.6718,
1089,0.4565,0.8067,0.6718,
1090,0.4571,0.8026,0.6719,
1091,0.4508,0.8078,0.6719,
1092,0.4577,0.8028,0.6719,
1093,0.46,0.8057,0.6719,
1094,0.4462,0.8091,0.6719,
1095,0.4485,0.8068,0.6719,
1096,0.4421,0.8038,0.6719,
1097,0.4552,0.8042,0.672,
1098,0.4654,0.8004,0.672,
1099,0.4444,0.8065,0.672,
1100,0.4531,0.8025,0.672,
1101,0.4515,0.8055,0.672,
1102,0.4573,0.806,0.672,
1103,0.4371,0.8085,0.672,
1104,0.449,0.8045,0.672,
1105,0.4508,0.8051,0.6721,
1106,0.4517,0.8081,0.6721,
1107,0.4573,0.8087,0.6721,
1108,0.451,0.8051,0.6722,
1109,0.4348,0.8118,0.6722,
1110,0.4563,0.8042,0.6722,
1111,0.4519,0.805,0.6723,
1112,0.4531,0.8076,0.6723,
1113,0.4444,0.8095,0.6724,
1114,0.4496,0.8078,0.6724,
1115,0.4538,0.8054,0.6724,
1116,0.4602,0.8086,0.6724,
1117,0.4604,0.8031,0.6725,
1118,0.4462,0.8071,0.6725,
1119,0.4479,0.8064,0.6725,
1120,0.4452,0.8117,0.6725,
1121,0.4465,0.8109,0.6726,
1122,0.4515,0.8063,0.6726,
1123,0.4517,0.8072,0.6727,
1124,0.4479,0.8053,0.6727,
1125,0.4392,0.8098,0.6727,
1126,0.4535,0.8063,0.6728,
1127,0.4523,0.8067,0.6728,
1128,0.4465,0.8073,0.6728,
1129,0.4477,0.8049,0.6729,
1130,0.4515,0.8049,0.6729,
1131,0.4519,0.8097,0.6729,
1132,0.4519,0.8084,0.673,
1133,0.44,0.8097,0.673,
1134,0.4513,0.8071,0.673,
1135,0.4467,0.8038,0.673,
1136,0.4348,0.8123,0.673,
1137,0.4319,0.8089,0.673,
1138,0.4448,0.8055,0.6731,
1139,0.4531,0.8063,0.673,
1140,0.4512,0.806,0.6731,
1141,0.4617,0.8036,0.6731,
1142,0.446,0.8072,0.6731,
1143,0.4375,0.8094,0.6731,
1144,0.4498,0.8067,0.6731,
1145,0.4504,0.81,0.6731,
1146,0.4425,0.8091,0.6731,
1147,0.4546,0.8004,0.6732,
1148,0.4481,0.8091,0.6732,
1149,0.4492,0.806,0.6733,
1150,0.4471,0.8095,0.6733,
1151,0.4427,0.8094,0.6734,
1152,0.4523,0.8063,0.6734,
1153,0.4642,0.8069,0.6734,
1154,0.446,0.8117,0.6734,
1155,0.4552,0.8054,0.6734,
1156,0.4521,0.8071,0.6734,
1157,0.4471,0.8113,0.6734,
1158,0.4587,0.8051,0.6735,
1159,0.451,0.8092,0.6735,
1160,0.4421,0.8101,0.6735,
1161,0.4406,0.8083,0.6735,
1162,0.444,0.8106,0.6735,
1163,0.4575,0.8071,0.6735,
1164,0.4563,0.8091,0.6735,
1165,0.4458,0.8108,0.6735,
1166,0.4402,0.809,0.6735,
1167,0.454,0.8015,0.6736,
1168,0.4385,0.8135,0.6737,
1169,0.4481,0.8094,0.6737,
1170,0.4396,0.8091,0.6737,
1171,0.4394,0.8129,0.6737,
1172,0.4485,0.8094,0.6738,
1173,0.4519,0.8095,0.6737,
1174,0.4485,0.8097,0.6737,
1175,0.4346,0.813,0.6738,
1176,0.4346,0.8139,0.6738,
1177,0.4354,0.8127,0.6738,
1178,0.4425,0.8094,0.6738,
1179,0.4429,0.8091,0.6738,
1180,0.4421,0.8118,0.6739,
1181,0.435,0.8137,0.6738,
1182,0.441,0.8115,0.6738,
1183,0.4448,0.8063,0.6738,
1184,0.445,0.8097,0.6738,
1185,0.4367,0.8095,0.6739,
1186,0.4415,0.8114,0.6739,
1187,0.4406,0.8091,0.674,
1188,0.4515,0.8056,0.674,
1189,0.4458,0.8084,0.6741,
1190,0.441,0.8124,0.6741,
1191,0.439,0.8105,0.6741,
1192,0.4404,0.8105,0.6741,
1193,0.4446,0.8102,0.6742,
1194,0.4527,0.8141,0.6742,
1195,0.4433,0.808,0.6742,
1196,0.4373,0.8085,0.6742,
1197,0.446,0.8093,0.6742,
1198,0.4329,0.8122,0.6742,
1199,0.4406,0.8117,0.6742,
1200,0.4477,0.8083,0.6743,
1201,0.4288,0.816,0.6743,
1202,0.4323,0.8099,0.6744,
1203,0.4406,0.8127,0.6744,
1204,0.4319,0.8124,0.6743,
1205,0.4456,0.8063,0.6743,
1206,0.4406,0.811,0.6744,
1207,0.4288,0.8158,0.6744,
1208,0.4412,0.8105,0.6744,
1209,0.434,0.8167,0.6744,
1210,0.4444,0.8087,0.6744,
1211,0.4492,0.8122,0.6744,
1212,0.4348,0.8165,0.6744,
1213,0.4512,0.8073,0.6744,
1214,0.4462,0.8121,0.6744,
1215,0.4452,0.8093,0.6744,
1216,0.4356,0.8131,0.6744,
1217,0.436,0.8133,0.6744,
1218,0.4375,0.8141,0.6744,
1219,0.4325,0.8127,0.6745,
1220,0.4467,0.8086,0.6745,
1221,0.4396,0.8122,0.6745,
1222,0.4465,0.8064,0.6745,
1223,0.435,0.8141,0.6746,
1224,0.4406,0.8095,0.6746,
1225,0.4348,0.8132,0.6746,
1226,0.4431,0.8119,0.6746,
1227,0.4454,0.8073,0.6747,
1228,0.4506,0.8064,0.6747,
1229,0.4435,0.8101,0.6747,
1230,0.4317,0.8125,0.6748,
1231,0.4398,0.8115,0.6747,
1232,0.4348,0.8153,0.6747,
1233,0.4487,0.8105,0.6748,
1234,0.4254,0.8176,0.6748,
1235,0.4288,0.8139,0.6748,
1236,0.4438,0.813,0.6749,
1237,0.4298,0.8116,0.6749,
1238,0.4444,0.8086,0.6749,
1239,0.4529,0.8086,0.6749,
1240,0.4358,0.813,0.675,
1241,0.4406,0.8097,0.675,
1242,0.4377,0.8096,0.675,
1243,0.4342,0.8152,0.675,
1244,0.4452,0.8123,0.6751,
1245,0.4283,0.816,0.6751,
1246,0.4263,0.8152,0.6751,
1247,0.4298,0.814,0.6751,
1248,0.4296,0.8174,0.6752,
1249,0.4381,0.8133,0.6752,
1250,0.4354,0.8139,0.6752,
1251,0.4417,0.8146,0.6752,
1252,0.4319,0.8153,0.6752,
1253,0.4533,0.8129,0.6752,
1254,0.4408,0.8127,0.6752,
1255,0.4467,0.8096,0.6752,
1256,0.4358,0.815,0.6752,
1257,0.4404,0.8097,0.6752,
1258,0.4344,0.8115,0.6752,
1259,0.4335,0.8155,0.6752,
1260,0.4392,0.807,0.6752,
1261,0.4431,0.8121,0.6752,
1262,0.4288,0.8125,0.6752,
1263,0.4483,0.8171,0.6752,
1264,0.4379,0.8162,0.6753,
1265,0.435,0.8149,0.6754,
1266,0.4325,0.8091,0.6755,
1267,0.4396,0.8116,0.6755,
1268,0.4352,0.8108,0.6756,
1269,0.4388,0.8117,0.6756,
1270,0.4388,0.8121,0.6756,
1271,0.4544,0.8121,0.6756,
1272,0.4427,0.811,0.6756,
1273,0.4377,0.8162,0.6756,
1274,0.4315,0.8158,0.6757,
1275,0.4392,0.8132,0.6757,
1276,0.4387,0.8136,0.6757,
1277,0.4362,0.8147,0.6757,
1278,0.431,0.8133,0.6758,
1279,0.4333,0.8145,0.6757,
1280,0.4277,0.8155,0.6757,
1281,0.4304,0.8177,0.6757,
1282,0.4213,0.8175,0.6758,
1283,0.4363,0.8149,0.6758,
1284,0.4344,0.8154,0.6758,
1285,0.4312,0.8199,0.6758,
1286,0.4437,0.809,0.6758,
1287,0.4458,0.811,0.6759,
1288,0.4287,0.8193,0.6759,
1289,0.4354,0.8143,0.6759,
1290,0.434,0.8175,0.676,
1291,0.4546,0.8101,0.676,
1292,0.4231,0.8179,0.676,
1293,0.4346,0.8137,0.676,
1294,0.4337,0.8125,0.6761,
1295,0.4308,0.817,0.6761,
1296,0.4302,0.8127,0.6761,
1297,0.4258,0.8158,0.6761,
1298,0.4371,0.8153,0.6762,
1299,0.4363,0.8164,0.6762,
1300,0.4498,0.8116,0.6762,
1301,0.4369,0.8122,0.6763,
1302,0.4365,0.8113,0.6764,
1303,0.4369,0.8142,0.6764,
1304,0.4208,0.82,0.6764,
1305,0.4294,0.8146,0.6764,
1306,0.4404,0.8141,0.6764,
1307,0.4362,0.816,0.6764,
1308,0.431,0.8138,0.6764,
1309,0.4313,0.8169,0.6764,
1310,0.4402,0.8111,0.6765,
1311,0.4273,0.8182,0.6765,
1312,0.4306,0.813,0.6766,
1313,0.4263,0.8174,0.6766,
1314,0.4398,0.8156,0.6767,
1315,0.4306,0.817,0.6767,
1316,0.4244,0.8161,0.6767,
1317,0.4285,0.8167,0.6767,
1318,0.4369,0.8131,0.6767,
1319,0.4296,0.8156,0.6767,
1320,0.4306,0.8159,0.6767,
1321,0.4431,0.8094,0.6767,
1322,0.4344,0.8133,0.6768,
1323,0.4294,0.8197,0.6768,
1324,0.4244,0.8171,0.6768,
1325,0.4298,0.8163,0.6768,
1326,0.4173,0.8201,0.6769,
1327,0.4342,0.8156,0.6769,
1328,0.4337,0.8143,0.6769,
1329,0.4369,0.8129,0.6769,
1330,0.424,0.8158,0.6769,
1331,0.4431,0.8141,0.6769,
1332,0.4487,0.8137,0.6769,
1333,0.4263,0.8174,0.6769,
1334,0.435,0.8179,0.677,
1335,0.4287,0.8139,0.677,
1336,0.4287,0.8179,0.677,
1337,0.4279,0.816,0.6769,
1338,0.4571,0.814,0.6769,
1339,0.4381,0.8161,0.677,
1340,0.4315,0.8188,0.677,
1341,0.4238,0.8191,0.677,
1342,0.4381,0.8148,0.677,
1343,0.4333,0.8147,0.677,
1344,0.4404,0.81,0.6771,
1345,0.4358,0.8155,0.6771,
1346,0.4183,0.8173,0.6771,
1347,0.4275,0.8202,0.6771,
1348,0.4365,0.8154,0.6771,
1349,0.436,0.8178,0.6772,
1350,0.4379,0.813,0.6772,
1351,0.441,0.8174,0.6772,
1352,0.44,0.8155,0.6772,
1353,0.4144,0.8167,0.6772,
1354,0.4277,0.817,0.6772,
1355,0.4227,0.8182,0.6772,
1356,0.4342,0.8153,0.6772,
1357,0.42,0.8181,0.6772,
1358,0.434,0.8158,0.6773,
1359,0.4138,0.819,0.6773,
1360,0.4229,0.8154,0.6774,
1361,0.4302,0.8175,0.6774,
1362,0.4438,0.814,0.6774,
1363,0.4323,0.8136,0.6774,
1364,0.4421,0.8132,0.6774,
1365,0.4294,0.8133,0.6774,
1366,0.4265,0.8185,0.6774,
1367,0.4346,0.812,0.6774,
1368,0.4448,0.8128,0.6774,
1369,0.4304,0.8172,0.6775,
1370,0.4387,0.8127,0.6774,
1371,0.4302,0.8149,0.6775,
1372,0.4312,0.8161,0.6775,
1373,0.4248,0.8171,0.6775,
1374,0.4188,0.8195,0.6776,
1375,0.4177,0.8194,0.6776,
1376,0.4277,0.819,0.6776,
1377,0.426,0.8147,0.6776,
1378,0.4313,0.8155,0.6776,
1379,0.4415,0.818,0.6776,
1380,0.4296,0.8161,0.6776,
1381,0.4254,0.8147,0.6776,
1382,0.4198,0.8204,0.6776,
1383,0.4194,0.8172,0.6777,
1384,0.421,0.8208,0.6777,
1385,0.4294,0.8189,0.6777,
1386,0.424,0.8202,0.6777,
1387,0.4452,0.8145,0.6778,
1388,0.4242,0.8154,0.6778,
1389,0.4333,0.8193,0.6779,
1390,0.4219,0.821,0.6779,
1391,0.4177,0.8192,0.6778,
1392,0.4313,0.8184,0.6778,
1393,0.4327,0.8169,0.6779,
1394,0.4231,0.8164,0.6779,
1395,0.4227,0.8193,0.6779,
1396,0.43,0.8174,0.6779,
1397,0.4223,0.8176,0.6779,
1398,0.4267,0.8212,0.678,
1399,0.4287,0.8198,0.678,
1400,0.4287,0.8168,0.6781,
1401,0.4292,0.8153,0.6781,
1402,0.4327,0.8178,0.678,
1403,0.4425,0.8156,0.6781,
1404,0.4277,0.8176,0.6781,
1405,0.4313,0.8168,0.6781,
1406,0.4188,0.8203,0.6782,
1407,0.4121,0.819,0.6781,
1408,0.435,0.8171,0.6781,
1409,0.4215,0.8204,0.6782,
1410,0.4244,0.8188,0.6782,
1411,0.424,0.8173,0.6781,
1412,0.4352,0.8196,0.6782,
1413,0.4256,0.8167,0.6782,
1414,0.4302,0.818,0.6782,
1415,0.4173,0.8164,0.6783,
1416,0.4156,0.8222,0.6783,
1417,0.4258,0.8216,0.6784,
1418,0.4171,0.8206,0.6784,
1419,0.4383,0.8175,0.6784,
1420,0.4338,0.8184,0.6785,
1421,0.4217,0.8194,0.6784,
1422,0.4225,0.8195,0.6784,
1423,0.4317,0.8175,0.6784,
1424,0.4235,0.8184,0.6784,
1425,0.4244,0.8191,0.6784,
1426,0.4204,0.8226,0.6784,
1427,0.4302,0.8187,0.6784,
1428,0.4215,0.8223,0.6784,
1429,0.419,0.8216,0.6785,
1430,0.4181,0.8197,0.6785,
1431,0.4165,0.8208,0.6785,
1432,0.4256,0.8188,0.6785,
1433,0.424,0.8169,0.6785,
1434,0.4254,0.8176,0.6785,
1435,0.4304,0.8143,0.6786,
1436,0.4288,0.8184,0.6786,
1437,0.4127,0.8236,0.6786,
1438,0.4312,0.8176,0.6786,
1439,0.4206,0.8205,0.6786,
1440,0.416,0.8213,0.6787,
1441,0.4215,0.8183,0.6787,
1442,0.4327,0.8159,0.6786,
1443,0.4367,0.817,0.6786,
1444,0.4273,0.8171,0.6786,
1445,0.4267,0.8208,0.6786,
1446,0.4217,0.8216,0.6786,
1447,0.4181,0.8188,0.6786,
1448,0.411,0.8234,0.6786,
1449,0.4185,0.8239,0.6786,
1450,0.4375,0.8146,0.6786,
1451,0.4185,0.8167,0.6786,
1452,0.4223,0.8214,0.6786,
1453,0.4237,0.8195,0.6786,
1454,0.4208,0.8169,0.6786,
1455,0.4137,0.8209,0.6786,
1456,0.4227,0.8179,0.6787,
1457,0.4104,0.8221,0.6787,
1458,0.4196,0.8233,0.6787,
1459,0.435,0.8177,0.6787,
1460,0.4265,0.8194,0.6787,0.6805
