,loss_value,acc,auc_validation,auc_test
179,0.6162,0.6807,0.6065,
180,0.6119,0.6845,0.6068,
181,0.6223,0.6803,0.6072,
182,0.6256,0.6825,0.6076,
183,0.6262,0.6851,0.608,
184,0.6162,0.6873,0.6083,
185,0.6198,0.6834,0.6086,
186,0.6183,0.6825,0.6089,
187,0.6073,0.6869,0.6093,
188,0.6142,0.6897,0.6096,
189,0.6192,0.6829,0.6099,
190,0.6108,0.6924,0.6102,
191,0.6179,0.6848,0.6106,
192,0.6198,0.6892,0.6108,
193,0.6162,0.6856,0.6111,
194,0.6054,0.6887,0.6113,
195,0.6081,0.6936,0.6117,
196,0.6117,0.6905,0.612,
197,0.616,0.6859,0.6122,
198,0.6119,0.696,0.6126,
199,0.6121,0.6923,0.6128,
200,0.6196,0.6933,0.6131,
201,0.6183,0.6903,0.6135,
202,0.5988,0.6924,0.6137,
203,0.6135,0.6935,0.6139,
204,0.6094,0.6892,0.6142,
205,0.6021,0.6943,0.6145,
206,0.6073,0.6942,0.6148,
207,0.6165,0.6925,0.6151,
208,0.6088,0.6955,0.6153,
209,0.6058,0.6948,0.6155,
210,0.6023,0.7002,0.6158,
211,0.6069,0.6952,0.616,
212,0.6052,0.7003,0.6164,
213,0.6081,0.6951,0.6167,
214,0.6096,0.6967,0.6169,
215,0.6081,0.6976,0.6172,
216,0.6,0.6971,0.6174,
217,0.6008,0.6986,0.6177,
218,0.6021,0.7015,0.618,
219,0.6104,0.6953,0.6183,
220,0.6029,0.6978,0.6186,
221,0.6,0.7024,0.6189,
222,0.6031,0.696,0.6191,
223,0.6048,0.6999,0.6193,
224,0.5985,0.7056,0.6195,
225,0.6046,0.7009,0.6199,
226,0.6038,0.6983,0.6201,
227,0.6083,0.7014,0.6203,
228,0.6048,0.7028,0.6206,
229,0.5887,0.7069,0.6208,
230,0.5971,0.7074,0.621,
231,0.5973,0.7049,0.6212,
232,0.5967,0.7072,0.6214,
233,0.5931,0.7087,0.6217,
234,0.5952,0.7074,0.6219,
235,0.5954,0.7015,0.6221,
236,0.5854,0.709,0.6223,
237,0.5919,0.7083,0.6226,
238,0.5948,0.7056,0.6228,
239,0.604,0.7064,0.6231,
240,0.6052,0.7025,0.6233,
241,0.5906,0.7105,0.6235,
242,0.594,0.7106,0.6237,
243,0.5958,0.7082,0.6239,
244,0.5944,0.7067,0.6241,
245,0.5819,0.7134,0.6243,
246,0.5885,0.7097,0.6245,
247,0.5902,0.7081,0.6247,
248,0.584,0.7111,0.6249,
249,0.591,0.7105,0.6251,
250,0.5858,0.7142,0.6252,
251,0.5894,0.7108,0.6254,
252,0.5917,0.7098,0.6257,
253,0.5885,0.7132,0.6257,
