,loss_value
0,356.26
1,365.1
2,372.43
3,376.04
4,378.14
5,377.52
6,376.92
7,375.15
8,371.48
9,367.39
10,363.57
11,357.27
12,350.47
13,343.72
14,337.49
15,332.61
16,328.7
17,324.04
18,319.84
19,316.54
20,313.98
21,311.41
22,308.18
23,306.84
24,304.73
25,302.97
26,301.12
27,298.53
28,297.29
29,296.72
30,294.79
31,293.59
32,291.61
33,289.93
34,288.83
35,286.63
36,285.74
37,284.86
38,282.28
39,281.76
40,280.39
41,278.94
42,277.34
43,276.66
44,274.26
45,275.08
46,273.22
47,271.1
48,272.61
49,270.85
50,269.22
51,268.34
52,267.88
53,266.58
54,265.28
55,264.9
56,264.14
57,263.43
58,261.35
59,262.4
60,260.84
61,260.72
62,259.1
63,259.08
64,258.12
65,257.38
66,257.34
67,256.7
68,256.04
69,255.12
70,255.47
71,254.67
72,253.56
73,253.28
74,252.8
75,253.29
76,251.19
77,250.93
78,251.13
79,249.71
80,250.23
81,249.43
82,248.84
83,249.0
84,248.77
85,247.27
86,247.67
87,247.27
88,245.43
89,246.38
90,246.27
91,245.02
92,244.67
93,244.37
94,243.89
95,244.15
96,243.09
97,242.64
98,242.81
99,243.22
100,242.43
101,241.6
102,241.83
103,240.92
104,240.67
105,240.6
106,240.83
107,239.66
108,239.91
109,238.46
110,239.25
111,238.38
112,237.78
113,238.78
114,238.57
115,237.67
116,237.06
117,236.76
118,237.05
119,237.04
120,236.08
121,236.76
122,235.81
123,235.78
124,236.64
125,235.24
126,234.23
127,233.34
128,233.77
129,234.18
130,234.68
131,234.23
132,231.94
133,233.79
134,232.86
135,232.78
136,232.41
137,232.81
138,232.24
139,231.56
140,230.55
141,233.54
142,232.01
143,231.62
144,230.98
145,230.73
146,230.17
147,229.97
148,229.78
149,229.96
150,228.68
151,229.75
152,228.79
153,227.66
154,227.93
155,228.02
156,229.33
157,228.08
158,228.49
159,227.17
160,226.56
161,227.09
162,227.6
163,226.5
164,226.7
165,225.98
166,226.84
167,225.46
168,226.02
169,225.94
170,225.19
171,225.66
172,226.09
173,225.3
174,225.33
175,223.51
176,224.46
177,224.01
178,224.38
179,223.37
180,222.72
181,223.86
182,223.33
183,223.4
184,223.19
185,222.51
186,221.66
187,223.21
188,221.0
189,221.59
190,221.3
191,220.71
192,220.6
193,221.76
194,220.91
195,221.33
196,219.65
197,219.9
198,220.56
199,220.34
200,220.67
201,220.43
202,221.1
203,219.93
204,219.84
205,219.44
206,220.07
207,218.74
208,219.55
209,218.74
210,218.27
211,217.67
212,218.54
213,217.85
214,218.95
215,216.94
216,217.07
217,217.73
218,217.74
219,216.94
220,216.96
221,217.55
222,215.76
223,215.21
224,216.48
225,216.48
226,216.35
227,215.94
228,216.31
229,214.94
230,214.96
231,214.69
232,215.38
233,214.58
234,214.05
235,213.71
236,214.68
237,213.75
238,214.03
239,215.08
240,214.04
241,214.64
242,213.71
243,214.79
244,211.78
245,213.65
246,213.07
247,212.96
248,212.55
249,212.47
250,211.67
251,213.52
252,211.51
253,213.85
254,212.09
255,210.96
256,210.65
257,211.18
258,210.94
259,211.52
260,210.92
261,211.18
262,210.12
263,211.01
264,209.25
265,210.17
266,210.47
267,210.4
268,208.4
269,210.01
270,208.24
271,210.54
272,210.21
273,209.0
274,209.19
275,207.47
276,209.65
277,209.05
278,208.97
279,209.12
280,208.41
281,209.05
282,208.38
283,208.77
284,207.98
285,207.4
286,207.6
287,207.65
288,207.76
289,207.42
290,207.75
291,207.24
292,207.03
293,206.56
294,207.36
295,205.46
296,207.36
297,205.91
298,205.9
299,205.71
300,205.01
301,206.73
302,205.67
303,205.59
304,204.1
305,204.33
306,205.27
307,206.48
308,203.64
309,206.34
310,204.87
311,204.82
312,203.98
313,204.14
314,203.77
315,203.39
316,203.93
317,202.7
318,203.38
319,202.88
320,203.64
321,202.4
322,203.66
323,203.76
324,202.81
325,202.97
326,203.33
327,201.99
328,204.66
329,203.55
330,201.93
331,202.36
332,201.22
333,201.58
334,201.47
335,201.97
336,202.05
337,201.62
338,201.07
339,201.14
340,200.21
341,199.91
342,200.83
343,200.83
344,200.05
345,200.32
346,200.38
347,199.72
348,199.99
349,199.99
350,200.58
351,199.28
352,198.65
353,199.76
354,199.24
355,199.98
356,199.55
357,198.14
358,199.64
359,198.53
360,198.41
361,198.63
362,198.64
363,198.02
364,198.22
365,197.77
366,197.71
367,197.95
368,197.67
369,198.13
370,198.2
371,197.46
372,197.29
373,196.55
374,197.24
375,196.76
376,197.17
377,195.37
378,197.1
379,195.57
380,196.3
381,196.91
382,195.9
383,196.0
384,196.4
385,197.1
386,196.0
387,195.67
388,195.88
389,196.23
390,195.65
391,194.96
392,195.71
393,194.73
394,195.94
395,194.62
396,194.04
397,194.81
398,194.7
399,195.12
400,195.16
401,194.44
402,193.64
403,193.04
404,193.99
405,193.56
406,194.01
407,193.22
408,193.18
409,192.68
410,192.58
411,192.71
412,192.99
413,192.71
414,193.32
415,193.43
416,191.21
417,193.2
418,192.21
419,191.83
420,193.49
421,192.04
422,192.51
423,191.89
424,191.33
425,191.7
426,191.66
427,191.54
428,190.91
429,189.99
430,191.88
431,190.89
432,191.17
433,190.97
434,191.53
435,189.93
436,190.26
437,189.7
438,189.22
439,190.55
440,190.76
441,190.19
442,189.8
443,190.82
444,189.82
445,190.65
446,190.08
447,189.4
448,190.34
449,188.39
450,189.38
451,189.46
452,188.31
453,187.97
454,188.0
455,188.7
456,189.27
457,189.39
458,188.25
459,187.69
460,188.9
461,188.03
462,188.61
463,186.65
464,188.12
465,186.39
466,187.92
467,188.02
468,187.44
469,187.83
470,186.64
471,187.28
472,187.32
473,185.79
474,186.18
475,186.78
476,187.46
477,187.72
478,186.24
479,185.93
480,186.37
481,186.11
482,187.08
483,186.33
484,186.04
485,186.32
486,186.41
487,185.87
488,186.41
489,185.04
490,184.94
491,185.46
492,185.06
493,185.37
494,184.17
495,184.3
496,184.55
497,184.24
498,185.54
499,184.92
500,184.97
501,184.92
502,183.91
503,184.6
504,184.24
505,184.45
